id,humedad_ambiente,humedad_tierra,temperatura,hora,estado_valvula
1927,46.6,63.0,9.4,2025-02-28 03:18:38,0
1926,44.9,62.0,10.3,2025-02-28 02:58:38,0
1925,45.8,63.0,9.5,2025-02-28 02:38:38,0
1924,46.0,63.0,9.7,2025-02-28 02:18:37,0
1923,44.4,64.0,10.1,2025-02-28 01:58:37,0
1922,43.1,65.0,10.9,2025-02-28 01:38:36,0
1921,44.6,65.0,10.2,2025-02-28 01:18:36,0
1920,45.9,65.0,10.4,2025-02-28 00:58:35,0
1919,45.2,66.0,10.3,2025-02-28 00:38:35,0
1918,46.4,65.0,10.3,2025-02-28 00:18:35,0
1917,44.1,67.0,11.3,2025-02-27 23:58:34,0
1916,43.7,68.0,11.3,2025-02-27 23:38:31,0
1915,42.3,67.0,12.6,2025-02-27 23:18:32,0
1914,42.2,68.0,12.5,2025-02-27 22:58:32,0
1913,40.9,68.0,12.9,2025-02-27 22:38:32,0
1912,38.7,68.0,14.5,2025-02-27 22:18:31,0
1911,36.6,70.0,14.7,2025-02-27 21:58:30,0
1910,35.3,70.0,15.3,2025-02-27 21:38:31,0
1909,34.4,71.0,16.4,2025-02-27 21:18:30,0
1908,32.4,70.0,18.8,2025-02-27 20:58:30,0
1907,30.5,71.0,17.9,2025-02-27 20:38:30,0
1906,28.0,71.0,18.9,2025-02-27 20:18:29,0
1905,25.1,70.0,20.6,2025-02-27 19:58:29,0
1904,25.0,72.0,19.7,2025-02-27 19:38:29,0
1903,22.9,73.0,23.3,2025-02-27 19:18:27,0
1902,23.7,71.0,24.9,2025-02-27 18:58:28,0
1901,16.1,71.0,28.8,2025-02-27 18:38:27,0
1900,15.8,71.0,30.1,2025-02-27 18:18:26,0
1899,13.8,72.0,32.0,2025-02-27 17:58:25,0
1898,14.3,72.0,32.0,2025-02-27 17:38:25,0
1897,13.7,72.0,32.7,2025-02-27 17:18:25,0
1896,12.3,72.0,35.5,2025-02-27 16:58:25,0
1895,8.6,71.0,45.5,2025-02-27 16:38:24,0
1894,8.5,72.0,45.5,2025-02-27 16:18:23,0
1893,8.7,72.0,45.7,2025-02-27 15:58:22,0
1892,9.0,73.0,46.2,2025-02-27 15:38:22,0
1891,9.1,72.0,43.5,2025-02-27 15:18:22,0
1890,10.2,73.0,41.6,2025-02-27 15:53:40,0
1889,10.4,73.0,41.4,2025-02-27 15:23:39,0
1888,11.2,74.0,38.7,2025-02-27 14:53:37,0
1887,12.6,73.0,36.5,2025-02-27 14:23:35,0
1886,0.0,125.0,0.0,2025-02-27 12:56:59,0
1885,14.3,73.0,36.0,2025-02-27 13:53:33,0
1884,0.0,125.0,0.0,2025-02-27 12:36:58,0
1883,15.3,57.0,36.4,2025-02-27 13:23:32,0
1882,0.0,125.0,0.0,2025-02-27 12:05:07,0
1881,14.8,58.0,36.7,2025-02-27 12:53:31,0
1880,14.6,57.0,37.3,2025-02-27 12:23:29,0
1879,15.5,57.0,37.2,2025-02-27 11:53:27,0
1878,17.8,57.0,35.0,2025-02-27 11:23:27,0
1877,19.0,52.0,32.6,2025-02-27 10:53:26,1
1876,16.4,42.0,33.9,2025-02-27 10:23:26,1
1875,18.9,33.0,33.1,2025-02-27 09:53:24,1
1874,40.6,32.0,13.0,2025-02-27 09:23:23,1
1873,51.0,33.0,7.8,2025-02-27 08:53:23,0
1872,60.1,35.0,4.5,2025-02-27 08:23:21,0
1871,57.1,32.0,4.4,2025-02-27 07:53:21,0
1870,57.8,33.0,4.6,2025-02-27 07:23:20,0
1869,54.3,33.0,4.4,2025-02-27 06:53:18,0
1868,54.9,36.0,5.6,2025-02-27 06:23:17,0
1867,51.4,36.0,5.8,2025-02-27 05:53:16,0
1866,52.3,37.0,5.8,2025-02-27 05:23:15,0
1865,49.8,39.0,6.9,2025-02-27 04:53:14,0
1864,48.1,40.0,6.8,2025-02-27 04:23:13,0
1863,46.1,41.0,8.4,2025-02-27 03:53:12,0
1862,45.1,42.0,8.1,2025-02-27 03:23:11,0
1861,44.6,41.0,8.5,2025-02-27 02:53:09,0
1860,42.6,45.0,9.0,2025-02-27 02:23:08,0
1859,41.0,45.0,10.3,2025-02-27 01:53:06,0
1858,37.9,47.0,11.6,2025-02-27 01:23:06,0
1857,35.8,42.0,12.3,2025-02-27 00:53:04,0
1856,31.7,47.0,14.0,2025-02-27 00:23:03,0
1855,26.8,47.0,17.9,2025-02-26 23:53:01,0
1854,23.3,47.0,21.1,2025-02-26 23:23:00,0
1853,23.7,44.0,20.9,2025-02-26 22:53:00,0
1852,26.3,43.0,19.8,2025-02-26 22:22:58,0
1851,28.7,53.0,18.4,2025-02-26 21:52:57,0
1850,28.2,53.0,19.2,2025-02-26 21:22:56,0
1849,25.9,54.0,20.9,2025-02-26 20:52:55,0
1848,22.3,55.0,23.6,2025-02-26 20:22:55,0
1847,20.3,55.0,25.7,2025-02-26 19:52:54,0
1846,16.9,56.0,28.7,2025-02-26 19:22:53,0
1845,0.0,125.0,0.0,2025-02-26 19:20:45,0
1844,18.0,55.0,30.0,2025-02-26 18:52:52,0
1843,17.9,57.0,31.0,2025-02-26 18:22:50,0
1842,17.0,57.0,32.7,2025-02-26 17:52:49,0
1841,12.1,56.0,41.1,2025-02-26 17:22:49,0
1840,13.8,58.0,38.5,2025-02-26 16:52:47,0
1839,13.2,58.0,40.6,2025-02-26 16:22:45,0
1838,13.8,58.0,39.6,2025-02-26 15:52:44,0
1837,13.5,59.0,40.0,2025-02-26 15:22:42,0
1836,14.0,59.0,38.9,2025-02-26 14:52:41,0
1835,15.6,60.0,38.1,2025-02-26 14:22:40,0
1834,14.3,59.0,38.6,2025-02-26 13:52:39,0
1833,15.0,57.0,36.0,2025-02-26 13:22:37,0
1832,13.6,56.0,36.4,2025-02-26 12:52:36,0
1831,16.9,56.0,35.7,2025-02-26 12:22:35,0
1830,18.4,54.0,34.5,2025-02-26 11:22:33,0
1829,18.3,49.0,32.2,2025-02-26 10:52:31,1
1828,13.7,43.0,37.0,2025-02-26 10:22:30,1
1827,17.3,5.0,30.7,2025-02-26 09:52:30,1
1826,40.7,0.0,10.7,2025-02-26 09:22:29,1
1825,43.0,0.0,6.4,2025-02-26 08:52:29,0
1824,44.3,1.0,4.3,2025-02-26 08:22:29,0
1823,44.3,1.0,4.7,2025-02-26 07:52:28,0
1822,43.7,1.0,4.7,2025-02-26 07:22:27,0
1821,42.5,2.0,4.9,2025-02-26 06:52:27,0
1820,43.0,6.0,4.7,2025-02-26 06:22:26,0
1819,41.6,7.0,5.0,2025-02-26 05:52:25,0
1818,38.9,0.0,5.1,2025-02-26 05:22:25,0
1817,39.0,8.0,5.7,2025-02-26 04:52:24,0
1816,40.1,8.0,5.8,2025-02-26 04:22:24,0
1815,38.3,8.0,5.8,2025-02-26 03:52:23,0
1814,33.2,18.0,7.8,2025-02-26 03:22:23,0
1813,36.9,11.0,7.0,2025-02-26 02:52:22,0
1812,33.5,11.0,8.0,2025-02-26 02:22:22,0
1811,35.1,11.0,7.2,2025-02-26 01:52:22,0
1810,30.9,20.0,8.1,2025-02-26 01:22:22,0
1809,30.3,21.0,9.3,2025-02-26 00:52:21,0
1808,29.4,25.0,8.8,2025-02-26 00:22:21,0
1807,26.1,22.0,10.8,2025-02-25 23:52:20,0
1806,25.4,22.0,11.3,2025-02-25 23:22:20,0
1805,25.6,16.0,11.2,2025-02-25 22:52:20,0
1804,25.2,7.0,11.9,2025-02-25 22:22:20,0
1803,23.8,18.0,13.2,2025-02-25 21:52:19,0
1802,20.9,20.0,14.6,2025-02-25 21:22:19,0
1801,19.5,24.0,16.1,2025-02-25 20:52:18,0
1800,18.6,21.0,17.3,2025-02-25 20:22:18,0
1799,14.6,21.0,22.0,2025-02-25 19:52:17,0
1798,7.6,15.0,28.4,2025-02-25 19:22:17,0
1797,8.0,16.0,30.1,2025-02-25 18:52:16,0
1796,7.4,7.0,31.0,2025-02-25 18:22:15,0
1795,7.1,4.0,33.4,2025-02-25 17:52:15,0
1794,4.4,10.0,44.5,2025-02-25 17:22:14,0
1793,5.7,15.0,42.0,2025-02-25 16:52:14,0
1792,6.5,68.0,42.0,2025-02-25 16:21:21,0
1791,5.4,70.0,41.8,2025-02-25 16:20:21,0
1790,6.0,100.0,40.9,2025-02-25 16:19:21,0
1789,6.3,0.0,39.8,2025-02-25 16:18:20,0
1788,6.9,9.0,37.7,2025-02-25 16:14:17,0
1787,5.9,10.0,37.3,2025-02-25 16:13:17,0
1786,6.3,11.0,39.6,2025-02-25 16:12:17,0
1785,5.9,11.0,39.9,2025-02-25 16:11:17,0
1784,5.8,-37.0,41.3,2025-02-25 16:09:06,0
1783,5.7,139.0,42.1,2025-02-25 16:06:51,0
1782,5.9,145.0,41.2,2025-02-25 16:05:51,0
1781,5.9,0.0,40.8,2025-02-25 16:04:51,0
1780,6.0,101.0,40.4,2025-02-25 16:03:50,0
1779,6.3,106.0,40.8,2025-02-25 15:54:04,0
1778,5.3,-6.0,43.6,2025-02-25 15:51:59,0
1777,5.3,-6.0,44.1,2025-02-25 15:50:58,0
1776,7.0,32.0,39.9,2025-02-25 15:16:20,0
1775,5.7,31.0,39.9,2025-02-25 14:46:18,0
1774,7.9,30.0,39.4,2025-02-25 14:16:18,0
1773,6.6,31.0,41.4,2025-02-25 13:46:16,0
1772,5.7,32.0,40.1,2025-02-25 13:16:14,0
1771,5.1,0.0,44.1,2025-02-25 12:46:12,0
1770,7.2,0.0,40.2,2025-02-25 12:16:11,0
